movieId,title,genres,streaming
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Disney Plus
2,Jumanji (1995),Adventure|Children|Fantasy,Netflix
3,Grumpier Old Men (1995),Comedy|Romance,None
4,Waiting to Exhale (1995),Comedy|Drama|Romance,None
5,Father of the Bride Part II (1995),Comedy,None
6,Heat (1995),Action|Crime|Thriller,None
7,Sabrina (1995),Comedy|Romance,None
8,Tom and Huck (1995),Adventure|Children,None
9,Sudden Death (1995),Action,None
10,GoldenEye (1995),Action|Adventure|Thriller,None
11,"American President, The (1995)",Comedy|Drama|Romance,None
12,Dracula: Dead and Loving It (1995),Comedy|Horror,None
13,Balto (1995),Adventure|Animation|Children,None
14,Nixon (1995),Drama,None
15,Cutthroat Island (1995),Action|Adventure|Romance,None
16,Casino (1995),Crime|Drama,None
17,Sense and Sensibility (1995),Drama|Romance,None
18,Four Rooms (1995),Comedy,None
19,Ace Ventura: When Nature Calls (1995),Comedy,None
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,None
21,Get Shorty (1995),Comedy|Crime|Thriller,None
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,None
23,Assassins (1995),Action|Crime|Thriller,None
24,Powder (1995),Drama|Sci-Fi,None
25,Leaving Las Vegas (1995),Drama|Romance,None
26,Othello (1995),Drama,None
27,Now and Then (1995),Children|Drama,None
28,Persuasion (1995),Drama|Romance,None
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,None
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,None
31,Dangerous Minds (1995),Drama,None
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,None
34,Babe (1995),Children|Drama,None
36,Dead Man Walking (1995),Crime|Drama,None
38,It Takes Two (1995),Children|Comedy,None
39,Clueless (1995),Comedy|Romance,None
40,"Cry, the Beloved Country (1995)",Drama,None
41,Richard III (1995),Drama|War,None
42,Dead Presidents (1995),Action|Crime|Drama,None
43,Restoration (1995),Drama,None
44,Mortal Kombat (1995),Action|Adventure|Fantasy,None
45,To Die For (1995),Comedy|Drama|Thriller,None
46,How to Make an American Quilt (1995),Drama|Romance,None
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,None
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,None
49,When Night Is Falling (1995),Drama|Romance,None
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,None
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,None
53,Lamerica (1994),Adventure|Drama,None
54,"Big Green, The (1995)",Children|Comedy,None
55,Georgia (1995),Drama,None
57,Home for the Holidays (1995),Drama,None
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,None
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,None
61,Eye for an Eye (1996),Drama|Thriller,None
62,Mr. Holland's Opus (1995),Drama,None
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,None
64,Two if by Sea (1996),Comedy|Romance,None
65,Bio-Dome (1996),Comedy,None
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,None
68,French Twist (Gazon maudit) (1995),Comedy|Romance,None
69,Friday (1995),Comedy,None
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,None
71,Fair Game (1995),Action,None
72,Kicking and Screaming (1995),Comedy|Drama,None
73,"Misérables, Les (1995)",Drama|War,None
74,Bed of Roses (1996),Drama|Romance,None
75,Big Bully (1996),Comedy|Drama,None
76,Screamers (1995),Action|Sci-Fi|Thriller,None
77,Nico Icon (1995),Documentary,None
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,None
79,"Juror, The (1996)",Drama|Thriller,None
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,None
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,None
82,Antonia's Line (Antonia) (1995),Comedy|Drama,None
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,None
85,Angels and Insects (1995),Drama|Romance,None
86,White Squall (1996),Action|Adventure|Drama,None
87,Dunston Checks In (1996),Children|Comedy,None
88,Black Sheep (1996),Comedy,None
89,Nick of Time (1995),Action|Thriller,None
92,Mary Reilly (1996),Drama|Horror|Thriller,None
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,None
94,Beautiful Girls (1996),Comedy|Drama|Romance,None
95,Broken Arrow (1996),Action|Adventure|Thriller,None
96,In the Bleak Midwinter (1995),Comedy|Drama,None
97,"Hate (Haine, La) (1995)",Crime|Drama,None
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,None
100,City Hall (1996),Drama|Thriller,None
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,None
102,Mr. Wrong (1996),Comedy,None
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,None
104,Happy Gilmore (1996),Comedy,None
105,"Bridges of Madison County, The (1995)",Drama|Romance,None
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,None
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,None
108,Catwalk (1996),Documentary,None
110,Braveheart (1995),Action|Drama|War,None
111,Taxi Driver (1976),Crime|Drama|Thriller,None
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,None
113,Before and After (1996),Drama|Mystery,None
116,Anne Frank Remembered (1995),Documentary,None
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,None
118,If Lucy Fell (1996),Comedy|Romance,None
119,"Steal Big, Steal Little (1995)",Comedy,None
121,"Boys of St. Vincent, The (1992)",Drama,None
122,Boomerang (1992),Comedy|Romance,None
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,None
125,Flirting With Disaster (1996),Comedy,None
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,None
128,Jupiter's Wife (1994),Documentary,None
129,Pie in the Sky (1996),Comedy|Romance,None
132,Jade (1995),Thriller,None
135,Down Periscope (1996),Comedy,None
137,Man of the Year (1995),Documentary,None
140,Up Close and Personal (1996),Drama|Romance,None
141,"Birdcage, The (1996)",Comedy,None
144,"Brothers McMullen, The (1995)",Comedy,None
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,None
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,None
147,"Basketball Diaries, The (1995)",Drama,None
148,"Awfully Big Adventure, An (1995)",Drama,None
149,Amateur (1994),Crime|Drama|Thriller,None
150,Apollo 13 (1995),Adventure|Drama|IMAX,None
151,Rob Roy (1995),Action|Drama|Romance|War,None
152,"Addiction, The (1995)",Drama|Horror,None
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,None
154,Beauty of the Day (Belle de jour) (1967),Drama,None
155,Beyond Rangoon (1995),Adventure|Drama|War,None
156,Blue in the Face (1995),Comedy|Drama,None
157,Canadian Bacon (1995),Comedy|War,None
158,Casper (1995),Adventure|Children,None
159,Clockers (1995),Crime|Drama|Mystery,None
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,None
161,Crimson Tide (1995),Drama|Thriller|War,None
162,Crumb (1994),Documentary,None
163,Desperado (1995),Action|Romance|Western,None
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,None
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,None
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,None
168,First Knight (1995),Action|Drama|Romance,None
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,None
170,Hackers (1995),Action|Adventure|Crime|Thriller,None
171,Jeffrey (1995),Comedy|Drama,None
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,None
173,Judge Dredd (1995),Action|Crime|Sci-Fi,None
174,Jury Duty (1995),Comedy,None
175,Kids (1995),Drama,None
176,Living in Oblivion (1995),Comedy,None
177,Lord of Illusions (1995),Horror,None
178,Love & Human Remains (1993),Comedy|Drama,None
179,Mad Love (1995),Drama|Romance,None
180,Mallrats (1995),Comedy|Romance,None
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,None
183,Mute Witness (1994),Comedy|Horror|Thriller,None
184,Nadja (1994),Drama,None
185,"Net, The (1995)",Action|Crime|Thriller,None
186,Nine Months (1995),Comedy|Romance,None
187,Party Girl (1995),Comedy,None
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,None
189,Reckless (1995),Comedy|Fantasy,None
190,Safe (1995),Thriller,None
191,"Scarlet Letter, The (1995)",Drama|Romance,None
193,Showgirls (1995),Drama,None
194,Smoke (1995),Comedy|Drama,None
195,Something to Talk About (1995),Comedy|Drama|Romance,None
196,Species (1995),Horror|Sci-Fi,None
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,None
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,None
201,Three Wishes (1995),Drama|Fantasy,None
202,Total Eclipse (1995),Drama|Romance,None
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,None
204,Under Siege 2: Dark Territory (1995),Action,None
205,Unstrung Heroes (1995),Comedy|Drama,None
206,Unzipped (1995),Documentary,None
207,"Walk in the Clouds, A (1995)",Drama|Romance,None
208,Waterworld (1995),Action|Adventure|Sci-Fi,None
209,White Man's Burden (1995),Drama,None
210,Wild Bill (1995),Western,None
211,"Browning Version, The (1994)",Drama,None
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,None
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,None
214,Before the Rain (Pred dozhdot) (1994),Drama|War,None
215,Before Sunrise (1995),Drama|Romance,None
216,Billy Madison (1995),Comedy,None
217,"Babysitter, The (1995)",Drama|Thriller,None
218,Boys on the Side (1995),Comedy|Drama,None
219,"Cure, The (1995)",Drama,None
220,Castle Freak (1995),Horror,None
222,Circle of Friends (1995),Drama|Romance,None
223,Clerks (1994),Comedy,None
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,None
225,Disclosure (1994),Drama|Thriller,None
227,Drop Zone (1994),Action|Thriller,None
228,Destiny Turns on the Radio (1995),Comedy,None
229,Death and the Maiden (1994),Drama|Thriller,None
230,Dolores Claiborne (1995),Drama|Thriller,None
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,None
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,None
233,Exotica (1994),Drama,None
234,Exit to Eden (1994),Comedy,None
235,Ed Wood (1994),Comedy|Drama,None
236,French Kiss (1995),Action|Comedy|Romance,None
237,Forget Paris (1995),Comedy|Romance,None
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,None
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,None
240,Hideaway (1995),Thriller,None
241,Fluke (1995),Children|Drama,None
242,Farinelli: il castrato (1994),Drama|Musical,None
243,Gordy (1995),Children|Comedy|Fantasy,None
246,Hoop Dreams (1994),Documentary,None
247,Heavenly Creatures (1994),Crime|Drama,None
248,Houseguest (1994),Comedy,None
249,Immortal Beloved (1994),Drama|Romance,None
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,None
251,"Hunted, The (1995)",Action,None
252,I.Q. (1994),Comedy|Romance,None
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,None
254,Jefferson in Paris (1995),Drama,None
255,"Jerky Boys, The (1995)",Comedy,None
256,Junior (1994),Comedy|Sci-Fi,None
257,Just Cause (1995),Mystery|Thriller,None
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,None
259,Kiss of Death (1995),Crime|Drama|Thriller,None
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,None
261,Little Women (1994),Drama,None
262,"Little Princess, A (1995)",Children|Drama,None
263,Ladybird Ladybird (1994),Drama,None
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,None
266,Legends of the Fall (1994),Drama|Romance|War|Western,None
267,Major Payne (1995),Comedy,None
269,My Crazy Life (Mi vida loca) (1993),Drama,None
270,Love Affair (1994),Drama|Romance,None
271,Losing Isaiah (1995),Drama,None
272,"Madness of King George, The (1994)",Comedy|Drama,None
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,None
274,Man of the House (1995),Comedy,None
275,Mixed Nuts (1994),Comedy,None
276,Milk Money (1994),Comedy|Romance,None
277,Miracle on 34th Street (1994),Drama,None
278,Miami Rhapsody (1995),Comedy,None
279,My Family (1995),Drama,None
280,Murder in the First (1995),Drama|Thriller,None
281,Nobody's Fool (1994),Comedy|Drama|Romance,None
282,Nell (1994),Drama,None
283,New Jersey Drive (1995),Crime|Drama,None
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,None
285,Beyond Bedlam (1993),Drama|Horror,None
287,Nina Takes a Lover (1994),Comedy|Romance,None
288,Natural Born Killers (1994),Action|Crime|Thriller,None
289,Only You (1994),Comedy|Romance,None
290,Once Were Warriors (1994),Crime|Drama,None
291,Poison Ivy II (1996),Drama|Thriller,None
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,None
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,None
294,"Perez Family, The (1995)",Comedy|Romance,None
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,None
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,None
298,Pushing Hands (Tui shou) (1992),Drama,None
299,Priest (1994),Drama,None
300,Quiz Show (1994),Drama,None
301,Picture Bride (Bijo photo) (1994),Drama|Romance,None
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance,None
303,"Quick and the Dead, The (1995)",Action|Thriller|Western,None
304,Roommates (1995),Comedy|Drama,None
305,Ready to Wear (Pret-A-Porter) (1994),Comedy,None
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,None
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,None
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama,None
310,Rent-a-Kid (1995),Comedy,None
311,Relative Fear (1994),Horror|Thriller,None
312,Stuart Saves His Family (1995),Comedy,None
313,"Swan Princess, The (1994)",Animation|Children,None
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,None
315,"Specialist, The (1994)",Action|Drama|Thriller,None
316,Stargate (1994),Action|Adventure|Sci-Fi,None
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,None
318,"Shawshank Redemption, The (1994)",Crime|Drama,None
319,Shallow Grave (1994),Comedy|Drama|Thriller,None
320,Suture (1993),Film-Noir|Thriller,None
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,None
322,Swimming with Sharks (1995),Comedy|Drama,None
324,"Sum of Us, The (1994)",Comedy|Drama,None
325,National Lampoon's Senior Trip (1995),Comedy,None
326,To Live (Huozhe) (1994),Drama,None
327,Tank Girl (1995),Action|Comedy|Sci-Fi,None
328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller,None
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,None
330,Tales from the Hood (1995),Action|Crime|Horror,None
331,Tom & Viv (1994),Drama,None
332,Village of the Damned (1995),Horror|Sci-Fi,None
333,Tommy Boy (1995),Comedy,None
334,Vanya on 42nd Street (1994),Drama,None
335,Underneath (1995),Mystery|Thriller,None
336,"Walking Dead, The (1995)",Drama|War,None
337,What's Eating Gilbert Grape (1993),Drama,None
338,Virtuosity (1995),Action|Sci-Fi|Thriller,None
339,While You Were Sleeping (1995),Comedy|Romance,None
340,"War, The (1994)",Adventure|Drama|War,None
341,Double Happiness (1994),Drama,None
342,Muriel's Wedding (1994),Comedy,None
343,"Baby-Sitters Club, The (1995)",Children,None
344,Ace Ventura: Pet Detective (1994),Comedy,None
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,None
346,Backbeat (1993),Drama|Musical,None
347,Bitter Moon (1992),Drama|Film-Noir|Romance,None
348,Bullets Over Broadway (1994),Comedy,None
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,None
350,"Client, The (1994)",Drama|Mystery|Thriller,None
351,"Corrina, Corrina (1994)",Comedy|Drama|Romance,None
352,Crooklyn (1994),Comedy|Drama,None
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,None
354,Cobb (1994),Drama,None
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,None
356,Forrest Gump (1994),Comedy|Drama|Romance|War,None
357,Four Weddings and a Funeral (1994),Comedy|Romance,None
358,Higher Learning (1995),Drama,None
359,I Like It Like That (1994),Comedy|Drama|Romance,None
360,I Love Trouble (1994),Action|Comedy,None
361,It Could Happen to You (1994),Comedy|Drama|Romance,None
362,"Jungle Book, The (1994)",Adventure|Children|Romance,None
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,None
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,None
365,Little Buddha (1993),Drama,None
